tconst,titleType,startYear,runtimeMinutes,averageRating,numVotes,Adventure,Animation,Family,Mystery,Horror,Musical,Comedy,Fantasy,Documentary,War,Crime,Film-Noir,Romance,Action,Drama,Thriller,Sci-Fi,Western,History,Biography,title,language
tt0054821,movie,1962,108,7.7,12129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Le doulos,fr
tt0054847,movie,1961,182,7.2,15910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,El Cid,fr
tt0054850,movie,1961,84,6.1,2394,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hercule contre les vampires,fr
tt0054866,movie,1961,134,6.8,2695,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Fanny,fr
tt0054885,movie,1961,133,6.9,3756,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Flower Drum Song,fr
tt0054938,movie,1961,78,5.6,4332,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Terreur sur Londres,fr
tt0054953,movie,1961,158,7.5,56057,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Les canons de Navarone,fr
tt0054988,movie,1961,88,6.8,3845,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Homicide,fr
tt0055018,movie,1961,100,7.7,33367,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Les innocents,fr
tt0055031,movie,1961,179,8.3,86530,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Jugement à Nuremberg,fr
tt0055032,movie,1962,105,7.7,44793,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Jules et Jim,fr
tt0055047,movie,1961,168,7,9111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Le roi des rois,fr
tt0055069,movie,1961,95,6.3,4618,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Le tombeur de ces dames,fr
tt0055073,movie,1961,112,6.7,3788,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,El Perdido,fr
tt0055082,movie,1961,117,7.5,5761,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,"Léon Morin, prêtre",fr
tt0055093,movie,1961,90,7.5,7702,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Lola,fr
tt0055100,movie,1961,107,7.1,8871,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,Lover Come Back,fr
tt0055152,movie,1961,102,5.8,3553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Le maître du monde,fr
tt0055153,movie,1961,110,7.5,4374,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Mère Jeanne des anges,fr
tt0055184,movie,1961,125,7.2,23689,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Les désaxés,fr
tt0055200,movie,1961,89,6.6,3682,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Mr. Sardonicus,fr
tt0055205,movie,1961,87,7.3,8700,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Murder She Said,fr
tt0055207,movie,1961,101,6.7,8664,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,L'île mystérieuse,fr
tt0055254,movie,1961,79,7.3,183965,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Les 101 dalmatiens,fr
tt0055256,movie,1961,104,7.9,23188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Un, deux, trois",fr
tt0055257,movie,1961,141,7.1,13485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,La vengeance aux deux visages,fr
tt0055277,movie,1961,129,7.2,24307,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,La fiancée de papa,fr
